Table S8. Alpha diversity estimates of richness,,,,,,,,,
,,,,,,,,,
Bacterial Sample,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
CI.BS.13.16S_S105_L001_R1_001.fastq.gz,209,209,0,209,3.843841778,4.827704615,0.986740824,75.41946893,33.1091996
CI.BS.14.16S_S106_L001_R1_001.fastq.gz,254,254,0,254,3.871966682,5.176946363,0.991445359,116.8956151,45.70196596
CI.BS.15.16S_S107_L001_R1_001.fastq.gz,159,159,0,159,3.33081666,4.60611102,0.984827865,65.91030269,26.93771596
CI.BS.16.16S_S108_L001_R1_001.fastq.gz,158,158,0,158,3.060569981,4.575208965,0.984876303,66.12140051,25.57144957
CI.BS.17.16S_S109_L001_R1_001.fastq.gz,254,254,0,254,3.512071421,5.169749319,0.991638083,119.5898028,44.27302062
CI.BS.18.16S_S110_L001_R1_001.fastq.gz,210,210,0,210,4.056740423,4.886760522,0.988446403,86.55313017,36.62603615
CI.BS.19.16S_S111_L001_R1_001.fastq.gz,70,70,0,70,2.800510158,3.963979586,0.976541069,42.62768754,13.32908701
CI.BS.2.16S_S94_L001_R1_001.fastq.gz,151,151,0,151,2.909222604,4.549548345,0.984616452,65.00450831,25.28190685
CI.BS.20.16S_S112_L001_R1_001.fastq.gz,253,253,0,253,4.388270388,4.885481151,0.983167656,59.40943347,42.30661254
CI.BS.21.16S_S113_L001_R1_001.fastq.gz,202,202,0,202,3.945796109,4.645461753,0.981936809,55.36120386,32.88438179
CI.BS.22.16S_S114_L001_R1_001.fastq.gz,310,310,0,310,4.794149661,5.341155633,0.992494037,133.2274162,53.95067456
CI.BS.23.16S_S115_L001_R1_001.fastq.gz,279,279,0,279,3.88361137,4.946487944,0.986575241,74.48923114,44.13068883
CI.BS.24.16S_S116_L001_R1_001.fastq.gz,392,392,0,392,5.099019514,5.436915138,0.99256342,134.4704069,66.67257144
CI.BS.25.16S_S117_L001_R1_001.fastq.gz,74,74,0,74,3.06020667,3.984912668,0.973745219,38.08830095,14.14511236
CI.BS.26.16S_S118_L001_R1_001.fastq.gz,71,71,0,71,3.439620025,3.775219015,0.968675118,31.92350388,12.80048899
CI.BS.27.16S_S119_L001_R1_001.fastq.gz,292,292,0,292,4.693335409,5.033856778,0.988395918,86.17657094,46.64721846
CI.BS.28.16S_S120_L001_R1_001.fastq.gz,40,40,0,40,2.641022529,3.34787025,0.953710789,21.60330629,7.985465479
CI.BS.29.16S_S121_L001_R1_001.fastq.gz,355,355,0,355,4.44496867,5.211796741,0.987596649,80.62337665,56.60703693
CI.BS.3.16S_S95_L001_R1_001.fastq.gz,342,342,0,342,4.631761692,5.388421704,0.992975534,142.3595785,58.31997353
CI.BS.30.16S_S122_L001_R1_001.fastq.gz,333,333,0,333,5.145335215,5.160749158,0.990460072,104.8225934,52.95856494
CI.BS.4.16S_S96_L001_R1_001.fastq.gz,189,189,0,189,3.826944296,4.670994156,0.982971215,58.72409465,31.69633377
CI.BS.5.16S_S97_L001_R1_001.fastq.gz,421,421,0,421,4.939058543,5.539418866,0.991858861,122.8329346,73.18129947
CI.BS.6.16S_S98_L001_R1_001.fastq.gz,342,342,0,342,5.385707749,5.378708757,0.991828432,122.3755333,60.23436423
CI.BS.7.16S_S99_L001_R1_001.fastq.gz,310,310,0,310,5.046877029,5.297022792,0.99182689,122.3524507,55.11631212
CI.BS.8.16S_S100_L001_R1_001.fastq.gz,272,272,0,272,4.402121815,5.111734397,0.990196961,102.0091817,46.93892751
CI.BS.9.16S_S101_L001_R1_001.fastq.gz,64,64,0,64,3.018174117,3.807821244,0.96963435,32.93194787,12.05481991
CI.ES.11.16S_S148_L001_R1_001.fastq.gz,320,320,0,320,5.054700782,5.233408082,0.991349084,115.5946996,52.97921888
CI.ES.12.16S_S149_L001_R1_001.fastq.gz,239,239,0,239,3.630415447,4.996062912,0.988904239,90.12450816,39.74003217
CI.ES.13.16S_S150_L001_R1_001.fastq.gz,246,246,0,246,3.867731841,4.694367052,0.980171887,50.43344221,37.25547049
CI.ES.14.16S_S151_L001_R1_001.fastq.gz,287,287,0,287,4.313498786,5.215671258,0.991039919,111.6061397,49.60590705
CI.ES.15.16S_S152_L001_R1_001.fastq.gz,315,315,0,315,4.119639374,5.230329047,0.990076368,100.7695559,53.1300487
CI.ES.16.16S_S153_L001_R1_001.fastq.gz,209,209,0,209,3.363183727,4.652181273,0.979873752,49.68636102,33.68775617
CI.ES.17.16S_S154_L001_R1_001.fastq.gz,113,113,0,113,3.151063874,4.318752493,0.98138086,53.70817375,19.70208203
CI.ES.18.16S_S155_L001_R1_001.fastq.gz,327,327,0,327,4.977011372,5.186611287,0.990462711,104.8515987,53.69602475
CI.ES.19.16S_S156_L001_R1_001.fastq.gz,289,289,0,289,4.77884612,4.937240364,0.985430267,68.6354389,46.6124552
CI.ES.2.16S_S145_L001_R1_001.fastq.gz,108,108,0,108,1.962613526,3.102408609,0.869326146,7.652640318,14.47068339
CI.ES.20.16S_S157_L001_R1_001.fastq.gz,297,297,0,297,4.112066501,5.124126747,0.989684181,96.93849924,48.35564732
CI.ES.21.16S_S158_L001_R1_001.fastq.gz,306,306,0,306,3.65506185,5.020955515,0.9877694,81.762136,47.25569343
CI.ES.22.16S_S159_L001_R1_001.fastq.gz,163,163,0,163,3.798611306,4.400941228,0.975545191,40.89175315,25.46683483
CI.ES.23.16S_S160_L001_R1_001.fastq.gz,283,283,0,283,5.022915685,4.860236088,0.981545005,54.18587287,44.58218465
CI.ES.24.16S_S161_L001_R1_001.fastq.gz,262,262,0,262,4.669210503,4.791555188,0.984048144,62.6886283,42.45667177
CI.ES.25.16S_S162_L001_R1_001.fastq.gz,290,290,0,290,4.108863422,4.934577185,0.980983396,52.58562334,47.9410991
CI.ES.26.16S_S163_L001_R1_001.fastq.gz,232,232,0,232,2.779233335,4.584785967,0.981830354,55.03684577,34.88476721
CI.ES.27.16S_S164_L001_R1_001.fastq.gz,226,226,0,226,4.545249392,4.596421402,0.981314495,53.51741893,33.53260286
CI.ES.29.16S_S165_L001_R1_001.fastq.gz,257,257,0,257,4.834216566,4.881680643,0.985299332,68.02412064,41.49540229
CI.ES.3.16S_S146_L001_R1_001.fastq.gz,185,185,0,185,3.349868896,3.962490092,0.935891969,15.59866979,28.49433777
CI.ES.30.16S_S166_L001_R1_001.fastq.gz,156,156,0,156,3.45205253,4.131895532,0.959987062,24.99191661,24.69432653
CI.ES.7.16S_S147_L001_R1_001.fastq.gz,328,328,0,328,4.716344182,5.069635717,0.988266445,85.22566294,52.29457345
CI.RS.11.16S_S126_L001_R1_001.fastq.gz,267,267,0,267,3.98968708,5.039827735,0.988959938,90.57920082,43.98648603
CI.RS.12.16S_S127_L001_R1_001.fastq.gz,252,252,0,252,4.481000455,5.049809018,0.989249818,93.02167819,42.97611544
CI.RS.13.16S_S128_L001_R1_001.fastq.gz,251,251,0,251,3.380280287,4.997526562,0.989043972,91.27395557,40.55649462
CI.RS.14.16S_S129_L001_R1_001.fastq.gz,303,303,0,303,4.875343772,5.336010805,0.993047901,143.8414517,53.30078681
CI.RS.15.16S_S130_L001_R1_001.fastq.gz,193,193,0,193,3.482004068,4.813856383,0.987876659,82.48551176,32.66480373
CI.RS.16.16S_S131_L001_R1_001.fastq.gz,195,195,0,195,3.939282767,4.637828695,0.983902506,62.12146924,32.79844348
CI.RS.19.16S_S134_L001_R1_001.fastq.gz,231,231,0,231,3.858986252,4.983030097,0.989909598,99.10407587,38.03196046
CI.RS.2.16S_S123_L001_R1_001.fastq.gz,357,357,0,357,3.667557824,5.145210975,0.986355988,73.29222316,56.56770888
CI.RS.20.16S_S135_L001_R1_001.fastq.gz,35,35,0,35,2.484236014,3.102167958,0.931758211,14.6537776,6.606534225
CI.RS.21.16S_S136_L001_R1_001.fastq.gz,151,151,0,151,3.884081966,4.232986249,0.969707442,33.01140787,24.08480274
CI.RS.22.16S_S137_L001_R1_001.fastq.gz,246,246,0,246,4.382615323,4.879663404,0.984953392,66.46016101,41.26395625
CI.RS.23.16S_S138_L001_R1_001.fastq.gz,215,215,0,215,4.353026213,4.891406954,0.988304177,85.50061089,36.53759481
CI.RS.24.16S_S139_L001_R1_001.fastq.gz,206,206,0,206,4.053046319,4.965946695,0.990417492,104.3568168,36.31318811
CI.RS.25.16S_S140_L001_R1_001.fastq.gz,207,207,0,207,4.521553322,4.775891507,0.985513491,69.02974298,35.07031024
CI.RS.26.16S_S141_L001_R1_001.fastq.gz,194,194,0,194,4.235344653,4.384296531,0.974708069,39.53830224,28.69955341
CI.RS.27.16S_S142_L001_R1_001.fastq.gz,193,193,0,193,3.220723055,4.32932372,0.968208007,31.45446134,29.10688959
CI.RS.29.16S_S143_L001_R1_001.fastq.gz,396,396,0,396,3.674921837,5.468135125,0.993484279,153.4749648,64.21739309
CI.RS.3.16S_S124_L001_R1_001.fastq.gz,395,395,0,395,5.79087016,5.236414749,0.987249099,78.4258312,63.68170147
CI.RS.30.16S_S144_L001_R1_001.fastq.gz,176,176,0,176,3.589758158,4.475674125,0.980785921,52.0451684,27.49853567
CI.RS.7.16S_S125_L001_R1_001.fastq.gz,154,154,0,154,3.67953272,4.034177312,0.94775066,19.13899773,25.39859491
Hum.BS.1.16S_S1_L001_R1_001.fastq.gz,187,187,0,187,3.825051116,4.58844512,0.981321366,53.5371044,29.34981479
Hum.BS.13.16S_S13_L001_R1_001.fastq.gz,159,159,0,159,2.913857587,4.718564798,0.988094407,83.99413498,26.89616391
